username,hops_to_domain_admin,graph_proximity_score,betweenness_centrality
sara_0,2,0.5,0.0
sara_1,unreachable,0.0,0.0
arjun_2,2,0.5,0.003
anita_3,2,0.5,0.002
riya_4,unreachable,0.0,0.0
amit_5,unreachable,0.0,0.0
priya_6,2,0.5,0.0
priya_7,3,0.333,0.0
sara_8,2,0.5,0.0
anita_9,2,0.5,0.0
sara_10,2,0.5,0.0
riya_11,2,0.5,0.002
priya_12,2,0.5,0.0
sara_13,unreachable,0.0,0.0
meena_14,3,0.333,0.0
priya_15,2,0.5,0.0
john_16,2,0.5,0.002
anita_17,2,0.5,0.002
meena_18,2,0.5,0.003
raj_19,3,0.333,0.0
priya_20,unreachable,0.0,0.0
sara_21,3,0.333,0.0
amit_22,3,0.333,0.0
arjun_23,3,0.333,0.0
john_24,unreachable,0.0,0.0
raj_25,unreachable,0.0,0.0
amit_26,3,0.333,0.0
amit_27,unreachable,0.0,0.0
vikram_28,unreachable,0.0,0.0
vikram_29,2,0.5,0.0
