cve_id,host,severity,cvss_score,epss_score
CVE-2021-44228,192.168.1.10,Critical,10.0,0.99999
CVE-2017-0144,192.168.1.10,Critical,8.1,0.9923
CVE-2014-0160,192.168.1.11,High,7.5,0.99999
CVE-2019-0708,192.168.1.11,Critical,9.8,0.99999
CVE-2020-1472,192.168.1.12,Critical,10.0,0.99389
CVE-2013-2566,192.168.1.12,Medium,5.9,0.84424
CVE-2015-2808,192.168.1.13,Medium,5.9,0.73851
CVE-2015-4000,192.168.1.13,Medium,6.8,0.9986
CVE-2018-7600,192.168.1.14,Critical,9.8,0.99991
CVE-2017-5638,192.168.1.14,Critical,10.0,0.99999
CVE-2016-5195,192.168.1.15,High,7.8,0.83524
CVE-2021-34527,192.168.1.15,Critical,8.8,0.99792
CVE-2020-0601,192.168.1.16,High,8.1,0.89436
CVE-2019-11510,192.168.1.16,Critical,10.0,0.99999
CVE-2022-30190,192.168.1.17,High,7.8,0.99234
CVE-2021-26855,192.168.1.17,Critical,9.8,0.99996
CVE-2018-13379,192.168.1.18,Critical,9.8,0.99999
CVE-2020-14882,192.168.1.18,Critical,9.8,0.99997
CVE-2019-19781,192.168.1.19,Critical,9.8,0.99999
CVE-2021-21972,192.168.1.19,Critical,9.8,0.99865
CVE-2017-11882,192.168.1.20,High,7.8,0.99945
CVE-2020-5902,192.168.1.20,Critical,9.8,0.99999
CVE-2019-0803,192.168.1.21,High,7.8,0.4523
CVE-2018-8174,192.168.1.21,High,7.5,0.88508
CVE-2021-40444,192.168.1.22,High,8.8,0.9745
CVE-2016-0189,192.168.1.22,High,7.6,0.94062
CVE-2015-1635,192.168.1.23,Critical,9.3,0.99999
CVE-2014-6271,192.168.1.23,Critical,9.8,0.99999
CVE-2012-1823,192.168.1.24,Critical,9.8,0.99998
CVE-2010-3333,192.168.1.24,High,7.8,0.89497
