username,privilege_level,mfa_enabled,last_login_days_ago,owned_asset_ip,identity_exposure_score
sara_0,domain_admin,true,10,192.168.1.12,0.4
sara_1,standard,false,2,192.168.1.19,0.5
arjun_2,domain_admin,true,10,192.168.1.18,0.4
anita_3,domain_admin,true,90,192.168.1.16,0.6
riya_4,standard,true,1,192.168.1.22,0.1
amit_5,standard,true,5,192.168.1.13,0.1
priya_6,domain_admin,true,30,192.168.1.23,0.4
priya_7,standard,false,60,192.168.1.18,0.7
sara_8,service_account,true,90,192.168.1.14,0.5
anita_9,service_account,true,10,192.168.1.21,0.3
sara_10,domain_admin,true,15,192.168.1.11,0.4
riya_11,service_account,true,60,192.168.1.20,0.5
priya_12,domain_admin,true,15,192.168.1.21,0.4
sara_13,standard,true,10,192.168.1.12,0.1
meena_14,standard,false,90,192.168.1.13,0.7
priya_15,service_account,false,10,192.168.1.23,0.7
john_16,service_account,false,2,192.168.1.13,0.7
anita_17,service_account,true,60,192.168.1.16,0.5
meena_18,domain_admin,true,90,192.168.1.18,0.6
raj_19,standard,false,120,192.168.1.16,0.7
priya_20,standard,false,90,192.168.1.17,0.7
sara_21,standard,false,5,192.168.1.20,0.5
amit_22,standard,false,2,192.168.1.16,0.5
arjun_23,standard,false,15,192.168.1.18,0.5
john_24,standard,true,90,192.168.1.22,0.3
raj_25,standard,true,15,192.168.1.16,0.1
amit_26,standard,false,15,192.168.1.18,0.5
amit_27,standard,true,15,192.168.1.23,0.1
vikram_28,standard,true,5,192.168.1.18,0.1
vikram_29,service_account,false,60,192.168.1.10,0.9
