username,privilege_level,mfa_enabled,last_login_days_ago,owned_asset_ip
sara_0,domain_admin,true,10,192.168.1.12
sara_1,standard,false,2,192.168.1.19
arjun_2,domain_admin,true,10,192.168.1.18
anita_3,domain_admin,true,90,192.168.1.16
riya_4,standard,true,1,192.168.1.22
amit_5,standard,true,5,192.168.1.13
priya_6,domain_admin,true,30,192.168.1.23
priya_7,standard,false,60,192.168.1.18
sara_8,service_account,true,90,192.168.1.14
anita_9,service_account,true,10,192.168.1.21
sara_10,domain_admin,true,15,192.168.1.11
riya_11,service_account,true,60,192.168.1.20
priya_12,domain_admin,true,15,192.168.1.21
sara_13,standard,true,10,192.168.1.12
meena_14,standard,false,90,192.168.1.13
priya_15,service_account,false,10,192.168.1.23
john_16,service_account,false,2,192.168.1.13
anita_17,service_account,true,60,192.168.1.16
meena_18,domain_admin,true,90,192.168.1.18
raj_19,standard,false,120,192.168.1.16
priya_20,standard,false,90,192.168.1.17
sara_21,standard,false,5,192.168.1.20
amit_22,standard,false,2,192.168.1.16
arjun_23,standard,false,15,192.168.1.18
john_24,standard,true,90,192.168.1.22
raj_25,standard,true,15,192.168.1.16
amit_26,standard,false,15,192.168.1.18
amit_27,standard,true,15,192.168.1.23
vikram_28,standard,true,5,192.168.1.18
vikram_29,service_account,false,60,192.168.1.10
